line,sentence_boundary_exists_after_this_line
[Chorus: Adam Levine & Travie McCoy],0
My heart's a stereo,1
"It beats for you, so listen close",1
Hear my thoughts in every no—,0
Oh—ote,1
"Make me your radio (Yeah, ha ha)",0
And turn me up when you feel low (Turn it up a little bit),1
This melody was meant for you (Right there),1
"Just sing along to my stereo (Gym Class Heroes, baby!)",1
,
[Verse 1: Travie McCoy],0
If I was just another dusty record on the shelf,0
Would you blow me off and play me like everybody else?,1
"If I ask you to scratch my back, could you manage that?",1
"Like yikky-yeah check it, Travie, I can handle that",1
"Furthermore, I apologize for any skipping tracks",1
It's just the last girl that played me left a couple cracks,1
"I used to, used to, used to, used to, now I'm over that",1
'Cause holding grudges over love is ancient artifacts,1
,
[Pre-Chorus 1: Travie McCoy],0
If I could only find a note to make you understand,0
I’d sing it softly in your ear and grab you by the hand,1
"Just keep it stuck inside your head, like your favorite tune",0
And know my heart's a stereo that only plays for you,1
[Chorus: Adam Levine & Travie McCoy],0
My heart's a stereo,1
"It beats for you, so listen close",1
Hear my thoughts in every no— (Yeah),0
"Oh—ote (Yeah, yeah, come on)",1
Make me your radio (Uh-uh),0
And turn me up when you feel low (Turn it up),1
This melody was meant for you,1
Just sing along to my stereo,1
,
[Post-Chorus: Adam Levine & Travie McCoy],0
"Oh, oh oh-oh, oh",1
Oh oh-oh (To my stereo),1
"Oh, oh-oh, oh",1
Just sing along to my stereo,1
Let's go!,1
,
[Verse 2: Travie McCoy],0
"If I was an old-school, fifty-pound boombox (Remember them?)",0
"Would you hold me on your shoulder, wherever you walk?",1
Would you turn my volume up in front of the cops? (Turn it up),0
And crank it higher every time they told you to stop (Peace),1
And all I ask is that you don't get mad at me,0
When you have to purchase mad D batteries,1
Appreciate every mixtape your friends make,1
"You never know, we come and go like on the interstate (Never know)",1
[Pre-Chorus 2: Travie McCoy],0
I think I finally found a note to make you understand,1
"If you could hit it, sing along and take me by the hand",1
"Just keep it stuck inside your head, like your favorite tune",1
You know my heart's a stereo that only plays for you,1
,
[Chorus: Adam Levine & Travie McCoy],0
My heart's a stereo (Yeah),1
"It beats for you, so listen close (Listen)",1
Hear my thoughts in every no—,0
"Oh—ote (Oh, oh)",1
Make me your radio (Come on),0
And turn me up when you feel low (Turn it up),1
This melody was meant for you,1
Just sing along to my stereo (Sing along like),1
,
[Post-Chorus: Adam Levine & Travie McCoy],0
"Oh, oh oh-oh, oh (Yeah)",1
Oh oh-oh (To my stereo),1
"Oh, oh-oh, oh",1
Just sing along to my stereo,1
,
[Bridge: Adam Levine & Travie McCoy],0
I only pray you never leave me behind (Never leave me),0
Because good music can be so hard to find (So hard to find),1
I take your hand and hold it closer to mine (Yeah),1
"Thought love was dead, but now you're changing my mind (Yeah, yeah, come on)",1
[Chorus: Adam Levine],0
My heart's a stereo (Yeah),1
"It beats for you, so listen close",1
Hear my thoughts in every no—,0
"Oh—ote (Oh, oh, oh)",1
Make me your radio (Ah-huh),0
And turn me up when you feel low (Turn it up),1
This melody was meant for you,1
Just sing along to my stereo,1
,
[Outro: Adam Levine & Travie McCoy],0
"Oh, oh oh-oh, oh (Haha)",1
"Yeah, yeah, ye—eh—eh",1
Oh oh oh-oh (To my stereo) (Let's go),1
"Yeah, yeah, ye—eh—eh",1
"Oh, oh-oh (It's your boy, Travie)",1
"Yeah, yeah, ye—eh—eh",1
"(Gym Class Heroes, baby) Just sing along to my stereo",1
"Yeah, yeah, yeah",1
Yeah,1
