line,sentence_boundary_exists_after_this_line
[Intro], 0
"Welcome to Star Box", 1
"Yeah, shawty, I'm tryna get me some thick thighs and some chinky eyes", 1
"I-I-I need a real good box", 1
"Oh, okay", 1
"A real good box", 1
"Okay, hey, yo Nick'", 1
"Yo?", 1
"Yeah, shorty out here want want, umm, a number three", 1
"Oh, aight, tell him to come around to my window, I got him, it's nothin'", 1
"Oh, aight", 1
"And yo, you know the slogan right?", 0
"Yeah, I know how it go", 1
"Pussy by any means", 1

[Chorus], 0
"First, I take their order at the Cuchi Shop (Hey)", 1
Then I send 'em a girl that can make her coochie pop (Hey), 0
"And then I smuggle all my money through the coochie spot (Hey)", 0
"(Up in the Phantom, have you wishin' you had 'em, I'm the madam)", 1
"And there ain't no returns at the Cuchi Shop (Hey)", 0
"We don't wanna hear "it burns" at the Cuchi Shop (Hey)", 1
"Just listen and you'll learn at the Cuchi Shop (Hey)", 1
"(Up in the Phantom, have you wishin' you had 'em, I'm the madam)", 1

[Verse 1], 0
"What you need thick thighs and some chinky eyes? (Kyuh)", 1
"Super size all your sides like your biggie fries (Kyuh)", 1
"For a better price you can get some better pie", 1
"Strawberry, apple, cherry, even lemon lime", 0
"What you want, them B cups? Or them C cups?", 1
"For your ice cream, chocolate or butter P cups", 0
"French vanilla threesomes that come in D cups", 0
"They eat each other but otherwise they don't eat much", 1
"I'm 'bout that fast money, money ain't got no patience (No)", 0
"But if them boys come, run like you on probation", 1
"Listen up, I'ma send ya to the location", 1
"Write it down, take a picture, make a notation", 1

[Chorus], 0
"First, I take their order at the Cuchi Shop (Hey)", 0
"Then I send 'em a girl that can make her coochie pop (Hey)", 0
"And then I smuggle all my money through the coochie spot (Hey)", 1
"(Up in the Phantom, have you wishin' you had 'em, I'm the madam)", 1
"And there ain't no returns at the Cuchi Shop (Hey)", 0
"We don't wanna hear "it burns" at the Cuchi Shop (Hey)", 1
"Just listen and you'll learn at the Cuchi Shop (Hey)", 1
"(Up in the Phantom, have you wishin' you had 'em, I'm the madam)", 1


[Verse 2], 0
"Relax lil' nigga, cut the bull (Cut it out)", 1
"We tax niggas, no deductible (Get it out)", 1
"So what it is, what it ain't, nigga, state ya name", 0
"You know we got them umbrellas if you make it rain", 1
"So what you want, them good girls or them bad ones?", 0
"I got them girls make ya wish you never had none", 0
"'Cause you'll be spendin' beaucoup in my spot, shorty", 1
"This nigga actin' brand new like he just bought it", 1
"Up and away like Mighty Mice", 0
"You can say I am the rap game Heidi Fleiss", 0
"'Cause my flow crazy, Hussein like Sadam", 1
"You gettin' it, I got 'em, I'm the rap bitch madam, I'm the madam", 1

[Chorus], 0
"First, I take their order at the Cuchi Shop (Hey)", 0
"Then I send 'em a girl that can make her coochie pop (Hey)", 0
"And then I smuggle all my money through the coochie spot (Hey)", 1
"(Up in the Phantom, have you wishin' you had 'em, I'm the madam)", 1
"And there ain't no returns at the Cuchi Shop (Hey)", 0
"We don't wanna hear "it burns" at the Cuchi Shop (Hey)", 1
"Just listen and you'll learn at the Cuchi Shop (Hey)", 1
"(Up in the Phantom, have you wishin' you had 'em, I'm the madam)", 1
