line,sentence_boundary_exists_after_this_line
[Verse 1],0
I heard that you're settled down,1
That you found a girl and you're married now,1
I heard that your dreams came true,1
Guess she gave you things I didn't give to you,1
"Old friend, why are you so shy?",1
Ain't like you to hold back or hide from the light,1
,0
[Pre-Chorus],0
"I hate to turn up out of the blue, uninvited",1
"But I couldn't stay away, I couldn't fight it",1
I had hoped you'd see my face,1
"And that you'd be reminded that for me, it isn't over",1
,0
[Chorus],0
"Never mind, I'll find someone like you",1
"I wish nothing but the best for you, too",1
"Don't forget me, I beg",1
I remember you said,0
"Sometimes it lasts in love, but sometimes it hurts instead",1
"Sometimes it lasts in love, but sometimes it hurts instead",1
[Verse 2],0
You know how the time flies,1
Only yesterday was the time of our lives,1
We were born and raised in a summer haze,1
Bound by the surprise of our glory days,1
,
[Pre-Chorus],0
"I hate to turn up out of the blue, uninvited",1
"But I couldn't stay away, I couldn't fight it",1
I had hoped you'd see my face,1
"And that you'd be reminded that for me, it isn't over",1
,0
[Chorus],0
"Never mind, I'll find someone like you",1
"I wish nothing but the best for you, too",1
"Don't forget me, I beg",1
I remember you said,0
"Sometimes it lasts in love, but sometimes it hurts instead",1
,0
[Bridge],0
"Nothing compares, no worries or cares",1
"Regrets and mistakes, they're memories made",1
Who would have known how bittersweet this would taste?,1
,0
[Breakdown],0
"Never mind, I'll find someone like you",1
I wish nothing but the best for you,1
"Don't forget me, I beg",1
I remember you said,0
"Sometimes it lasts in love, but sometimes it hurts instead",1
[Chorus],0
"Never mind, I'll find someone like you",1
"I wish nothing but the best for you, too",1
"Don't forget me, I beg",1
I remember you said,0
"Sometimes it lasts in love, but sometimes it hurts instead",1
"Sometimes it lasts in love, but sometimes it hurts instead",1
